ID,Title / Filename
Bias_1_Human,Mitigating first name biases in LLMs by few-shot prompting
Bias_2_Human,Cross-culture Self-Debiasing through Cross-lingual Interactions among Large Language Models
Bias_3_Human,FairPrompt: Enhancing Fairness in Multilingual Language Models through Culturally-Aware Prompting Techniques
Bias_4_Human,InsideOut - Debiased Emotional Dialogue Generation with Multi-Agent System
Bias_1_AI,temporal_bias_decay_simulation.json 
Bias_2_AI,empathetic_cascading_networks.json 
Bias_3_AI,conceptual_pivot_prompting_for_bias_mitigation.json 
Bias_4_AI,adversarial_stereotype_dissolution_prompting.json 
Coding_1_Human,Chain-of-compilers: Towards faithful code understanding and execution
Coding_2_Human,"Algorithm-Supported Programming for Intellectual, Mathematical, and Computational Intensive Code Generation"
Coding_3_Human,Improving Code Models through multi-agent debate
Coding_4_Human,Chain-of-State Iterative Code Generation via Large Language Models
Coding_5_Human,Incorporating Chain-of-Context in Self-planning Enhances Interactive Code Generation from Natural Language
Coding_6_Human,Context-Aware Code Generation: Enhancing Contextual Understanding in Large Language Models for Improved Code Generation
Coding_7_Human,Simulating Novice Coding (Mis-)Behaviors with Large Language Models
Coding_8_Human,Autoprompting: Generate diverse few-shot examples for any application
Coding_9_Human,Enhancing Code Generation through Property-Based Reasoning
Coding_1_AI,recursive_conceptual_compression_for_algorithmic_optimization.json 
Coding_2_AI,multimodal_algorithmic_reasoning_prompts.json 
Coding_3_AI,neurosymbolic_api_synthesis.json 
Coding_4_AI,ethical_constraint_propagation.json 
Coding_5_AI,api-guided_evolutionary_prompting.json 
Coding_6_AI,temporal_dependency_unfolding.json 
Coding_7_AI,emergent_axiom_distillation.json 
Coding_8_AI,adaptive_prompt_decomposition_for_long-range_code_generation.json 
Coding_9_AI,semantic_debugging_prompts.json 
Safety_1_Human,Ensemble of LLMs Attack Safety Classifiers
Safety_2_Human,Look Before You Leap: Defensive LLM Prompting to Analyze Instruction Intent Against Jailbreaking
Safety_3_Human,Automatic Jailbreak Prompt Generation for Large Language Models
Safety_4_Human,A compound LLM system to mimic knowledge unlearning in large language models
Safety_5_Human,Robust Defenses against Many-Shot Jailbreaking
Safety_1_AI,adaptive_semantic_masking.json 
Safety_2_AI,semantic_fog_injection.json 
Safety_3_AI,semantic_constellation_diffraction_for_privacy.json 
Safety_4_AI,adversarial_scenario_extrapolation.json 
Safety_5_AI,adversarial_chain-of-thought_immunization.json 
Multilingual_1_Human,Hallucinations Improve Translations for Low-Resource Languages
Multilingual_2_Human,PolyPrompt: Automating Knowledge Extraction from Multilingual Language Models with Dynamic Prompt Generation
Multilingual_3_Human,Multilingual Prompting with Transliterated Inputs Improves Tokenization Rates and Few-shot Performance
Multilingual_4_Human,Guiding Multilingual Storytelling via Question-Answering
Multilingual_5_Human,Enhancing Multilingual LLM Performance through Prompt-based Common Sense Integration for Low-resource Languages
Multilingual_6_Human,Translation with LLMs through prompting with long-form context
Multilingual_7_Human,Dialect-Aware Machine Translation with Prompted Lexicon Entries as Examples
Multilingual_8_Human,Resolving Ambiguous Translations via Language Model Prompting
Multilingual_9_Human,Identifying optimal languages for improving zero-shot low-resource XNLI performance
Multilingual_10_Human,A culturally-aware machine translation paradigm
Multilingual_1_AI,linguistic_pivot_constellation.json 
Multilingual_2_AI,cross-lingual_concept_harmonization_prompting.json 
Multilingual_3_AI,linguistic_spectrum_calibration.json 
Multilingual_4_AI,phonetic_chain-of-thought_for_low-resource_languages.json 
Multilingual_5_AI,sociolinguistic_role-play_prompting.json 
Multilingual_6_AI,recursive_dialectal_expansion.json 
Multilingual_7_AI,neuro-symbolic_vernacular_parsing.json 
Multilingual_8_AI,culturally-grounded_chain-of-thought.json 
Multilingual_9_AI,diachronic_semantic_navigation_for_vernacular_understanding.json
Multilingual_10_AI,holographic_etymological_mapping.json 
Factuality_1_Human,Abstaining With Multilingual Knowledge
Factuality_2_Human,Overcoming narrow context window of LLMs in requirements analysis of an industrial SRS document
Factuality_3_Human,Hierarchical Multi-Perspective Prompting Improves Factuality in Large Language Models in Specialized Domains
Factuality_4_Human,Verifying and Improving the Factuality in LMs via Grounded Court Debate
Factuality_5_Human,Chain-of-Quote Prompting Improves Factuality and Attribution in Multi-Hop Reasoning
Factuality_6_Human,"A Two-Man Band: Using LLMs in Conjunction with Code and Knowledge Graphs Improves Clarity, Factuality, and Logical Reasoning"
Factuality_7_Human,LLM Directed Retrieval Querying for Improving Factuality
Factuality_8_Human,Prompt Evolution for Reducing Negation-Related Errors in Large Language Models
Factuality_9_Human,Negative Questioning for Alignment Models to Reduce Hallucinations
Factuality_10_Human,Sampling Q&A eliminates hallucinations and enables instance separation of personal facts from LLMs
Factuality_11_Human,Retrieval-Augmented Deductive Reasoning (RADR) Via Structural Decomposition of Legal Analysis
Factuality_1_AI,divergent_thought_stream_amplification.json 
Factuality_2_AI,fractal_hallucination_suppression.json
Factuality_3_AI,conceptual_bridging_prompting.json 
Factuality_4_AI,semantic_divergence_minimization.json 
Factuality_5_AI,iterative_semantic_decomposition.json 
Factuality_6_AI,multimodal_factual_grounding_prompting.json 
Factuality_7_AI,temporal_resonance_factual_alignment.json 
Factuality_8_AI,adaptive_contextual_pruning.json 
Factuality_9_AI,contextual_mirage_inversion_for_hallucination_mitigation.json 
Factuality_10_AI,adaptive_confidence-guided_prompting.json 
Factuality_11_AI,epistemological_source_tracing.json 
Math_1_Human,Self-improving memory ignites mathematical reasoning for Large Language Models
Math_2_Human,Tree-of-thought prompting for challenging mathematical proofs
Math_3_Human,ManyChecks: Verifying Math Reasoning from Many Perspectives
Math_4_Human,Focal-Contrast Tree Search Enhances Numerical Reasoning
Math_1_AI,dimensional_consistency_reinforcement_prompting.json 
Math_2_AI,conceptual_scaffolding_for_mathematical_reasoning.json 
Math_3_AI,metaphorical_concept_transposition.json 
Math_4_AI,probabilistic_proof_outline_generation.json 
Uncertainty_1_Human,Fishing in an LLM: Theoretically Quantifying Uncertainty with Fisher Information in Large Language Models
Uncertainty_2_Human,Stepwise Uncertainty Estimation in Chain-of-thought
Uncertainty_3_Human,Modular Calibration for Long-form Answers
Uncertainty_4_Human,Uncertainty Estimation via Consistency in Self-generated References in Large Language Models
Uncertainty_5_Human,Probabilistic Opinion Pooling for Open-Domain Question Answering
Uncertainty_6_Human,Enhancing AI Model Reliability by Learning to Express Uncertainty
Uncertainty_1_AI,semantic_uncertainty_lattice_prompting.json 
Uncertainty_2_AI,contrastive_semantic_pivot_prompting.json 
Uncertainty_3_AI,counterfactual_cascade_uncertainty_estimation.json 
Uncertainty_4_AI,differential_confidence_mapping.json
Uncertainty_5_AI,adversarial_socratic_dialogue_for_uncertainty_calibration.json 
Uncertainty_6_AI,entropy-guided_prompt_mutation.json